Customer ID,Time Stamp,Exp Date,New Exp Date,Txn Type,Proc Type,Premium,Text Date Time,Call Date Time,Visit Date Time,Complete Date,Company Name,Ownership,Memo,Chg Date Time,Sigxp No
0000001035,20180228121052,20180308,20190308,NEW BIZ,SUCCESS,1490.0,,20180228,201803072000,20180307,SPECIAL RISK,MOLLY,promote initial payment,20180408131947,
0000001035,20180310202719,20190308,NG,RENEWAL,READY,0.0,null,null,null,null,SPECIAL RISK,MOLLY,null,20180310202719,null
0000001038,20180307223322,20180307,null,NEW BIZ,NEXT,0.0,,,,,GMS,LUKE,Group Dental,20180312212056,
0000001086,20180406231110,20180800,null,NEW BIZ,WAITING,0.0,20180406,,2018060000,,,MOLLY,need prev. certi.,20180423154527,
0000001087,20180406231347,20180704,20180704,NEW BIZ,FAIL,1475.0,,20180407,20180704,20180623,TRAVELLERS,JOHN,economical can't beat the premium//paid $1359//$116 down,20180623154051,
0000001090,20180407210955,20180427,20190427,RENEWAL,SUCCESS,2301.0,,20180407,201804241600,20180424,SPECIAL RISK,JOHN,need reinstate policy//counter lob,20180507221231,SR011063
0000001090,20180424185244,20190427,NG,RENEWAL,READY,0.0,null,null,null,null,SPECIAL RISK,JOHN,null,20180424185244,null
0000001106,20180417095819,20180808,,RENEWAL,WAITING,985.0,,,20180708,,WAWANESA,OBED,need process lob,20180703215832,M1161512
0000001108,20180409115600,20180416,20190416,NEW BIZ,SUCCESS,725.0,,,20180430000,20180504,PREMIER MARINE,OBED,bookkeeping & personal account//2nd job,20180617181840,AT00332
0000001108,20180412131958,20190416,NG,RENEWAL,READY,0.0,null,null,null,null,PREMIER MARINE,OBED,null,20180412131958,null
0000001125,20180430221933,20180801,NG,NEW BIZ,RESERVED,0.0,,,20180801,,LLOYD,MOLLY,,20180610215630,
0000001165,20180608151716,20180611,20190611,RENEWAL,COMPLETE,1672.0,,20180608,20180611,20180612,TCIM,TIM,,20180612181659,TC007109
0000001165,20180612181642,20190611,null,RENEWAL,READY,0.0,null,null,null,null,TCIM,TIM,null,20180612181642,null
0000001186,20180625010943,20180623,20190503,CHANGE,RESERVED,0.0,20180620,20180620,,,WAWANESA,TIM,move from north rd to lougheed hwy,20180625012027,
0000001197,20180623161422,20180710,20190710,CANCEL,FAIL,415.0,20180623,20180623,20180704,,CANSURE,TIM,need no more renewal,20180703120833,MOT323032
